route_id,route_name,route_color_hex,route_color_name,origin,destination,direction,service_note,source_image,is_inferred
INT_SEKT13,RUTE INTERMODA - SEKTOR I.3,#1E40AF,dark blue,PASAR_MODERN,ICE_2,LOOP,,Image1,false
SEKT13_INT,RUTE SEKTOR I.3 - INTERMODA,#06B6D4,cyan,HALTE_SEKTOR_1_3,PASAR_MODERN,LOOP,,Image2,false
GRN_SEKT13,RUTE GREENWICH PARK - SEKTOR I.3,#166534,dark green,GREENWICH_PARK,HALTE_SEKTOR_1_3,LOOP,,Image3,false
SEKT13_GRN,RUTE SEKTOR I.3 - GREENWICH PARK,#84CC16,lime,HALTE_SEKTOR_1_3,GREENWICH_PARK,LOOP,,Image4,false
INT_DEPARK_R1,RUTE INTERMODA - DEPARK (RUTE 1),#DC2626,red,PASAR_MODERN,DE_PARK_LOBBY,LOOP,,Image5,false
INT_DEPARK_R2,RUTE INTERMODA - DEPARK (RUTE 2),#EC4899,pink,PASAR_MODERN,DE_PARK_LOBBY,LOOP,,Image6,false
BREEZE_AEON_ICE,RUTE THE BREEZE - AEON - ICE - THE BREEZE,#9333EA,purple,THE_BREEZE,THE_BREEZE,LOOP,,Image7,false
INT_BREEZE_INT,RUTE INTERMODA - THE BREEZE - INTERMODA,#EAB308,yellow,PASAR_MODERN,PASAR_MODERN,LOOP,,Image9,false
INT_VANYA_INT,RUTE INTERMODA - VANYA PARK - INTERMODA,#F97316,orange,PASAR_MODERN,PASAR_MODERN,LOOP,INFERRED_FROM_OVERVIEW,overview,true
